月份,周,月内第几天,全局第几天,学什么_40分钟,做什么_70分钟,验收标准,关联项目,考证,备注
2,W4,24,54,pytest,ingest/query/cite,本地测试可跑,energy-storage-rag,,
2,W4,25,55,证1冲刺,模考二刷,>=70分,energy-storage-rag,证1,
2,W4,26,56,错题巩固,薄弱点<=3类,清单完成,energy-storage-rag,证1,
2,W4,27,57,证1考试,按机构档期参加考试,通过或已考,energy-storage-rag,证1,考试日
2,W4,28,58,架构图,ingest/retrieve/generate,README完整,energy-storage-rag,,
2,W4,29,59,简历STAR,RAG项目写简历,3条量化指标,energy-storage-rag,,
2,W4,30,60,月复盘,规划Agent月,复盘500字+,energy-storage-rag,,月交付RAG+证1
3,W1,1,61,LangGraph/Dify选型,搭最小Agent项目,Hello Agent,energy-agent,,
3,W1,2,62,Tool Calling,故障码表工具,能查码,energy-agent,,
3,W1,3,63,状态机,输入到分类节点,分类正确,energy-agent,,
3,W1,4,64,RAG工具,调用上月RAG API,根因有依据,energy-agent,,
3,W1,5,65,/agent/diagnose,串联链路,端到端通,energy-agent,,
3,W1,6,66,trace日志,每步input/output,可追溯,energy-agent,,
3,W1,7,67,录屏5分钟,单故障演示,可展示,energy-agent,,W1交付
3,W2,8,68,分支逻辑,未知故障人工升级,分支生效,energy-agent,,
3,W2,9,69,重试超时,工具失败3次降级,不僵死,energy-agent,,
3,W2,10,70,结构化输出,根因+步骤+风险,JSON固定,energy-agent,,
3,W2,11,71,Mock告警API,模拟设备上报,接mock通,energy-agent,,
3,W2,12,72,session memory,多轮上下文,同session连续,energy-agent,,
3,W2,13,73,10用例回归,过充/欠温/通信等,记录通过,energy-agent,,
3,W2,14,74,修失败用例,调prompt/工具,通过率提升,energy-agent,,W2交付
3,W3,15,75,故障taxonomy,整理分类表,文档1份,energy-agent,,
3,W3,16,76,工单样例,每类2条样例,6条以上,energy-agent,,
3,W3,17,77,工单模板对齐,输出字段匹配,可导入mock,energy-agent,,
3,W3,18,78,iOS可选,App调Agent API,手机能触发,energy-agent,,加分项
3,W3,19,79,设备状态Mock,BLE/状态进上下文,上下文更丰富,energy-agent,,
3,W3,20,80,端到端脚本,一键演示,5分钟跑完,energy-agent,,
3,W3,21,81,讲解稿10分钟,项目2答辩稿,能脱稿讲,energy-agent,,W3交付
3,W4,22,82,安全审查,输入过滤/权限,清单完成,energy-agent,,
3,W4,23,83,成本统计,Agent每步token,有统计,energy-agent,,
3,W4,24,84,与RAG联调,同域名/网关,两服务互通,energy-agent,,
3,W4,25,85,证2考纲Tool,刷题1h,错题10条,energy-agent,证2准备,
3,W4,26,86,证2考纲多Agent,刷题+笔记,笔记1篇,energy-agent,证2准备,
3,W4,27,87,证2模考,模考1次,>=60分,energy-agent,证2准备,
3,W4,28,88,简历STAR,Agent项目条目,3条指标,energy-agent,,
3,W4,29,89,架构图,Agent工作流,README完成,energy-agent,,
3,W4,30,90,月复盘,规划上线月,复盘500字+,energy-agent,,月交付Agent
4,W1,1,91,JWT,登录发token,受保护接口需token,部署上线,,
4,W1,2,92,RBAC简版,admin/user角色,权限区分,部署上线,,
4,W1,3,93,限流,令牌桶/中间件,超限429,部署上线,,
4,W1,4,94,API网关概念,统一入口路由,/rag /agent同域,部署上线,,
4,W1,5,95,trace_id,全链路ID,日志可串联,部署上线,,
4,W1,6,96,结构化日志,JSON日志,可检索,部署上线,,
4,W1,7,97,复盘,监控方案文档,文档1页,部署上线,,W1交付
4,W2,8,98,metrics,请求数/延迟/错误率,指标可查,部署上线,,
4,W2,9,99,告警阈值,错误率>5%记录,有告警记录,部署上线,,
4,W2,10,100,模型分级,简单小模型复杂大模型,路由生效,部署上线,,
4,W2,11,101,缓存策略复盘,RAG+Agent缓存合并,命中率提升,部署上线,,
4,W2,12,102,token预算,日预算+熔断,超限降级,部署上线,,
4,W2,13,103,locust压测,50并发,有瓶颈报告,部署上线,,
4,W2,14,104,修瓶颈,DB索引/连接池,P99改善,部署上线,,W2交付
4,W3,15,105,云服务器,选购2C4G,能SSH,部署上线,,
4,W3,16,106,服务器Docker,部署compose,内网可访问,部署上线,,
4,W3,17,107,Nginx反代,域名或IP访问,80通,部署上线,,
4,W3,18,108,HTTPS,certbot或云证书,https可开,部署上线,,
4,W3,19,109,备份策略,DB每日备份脚本,能恢复演练,部署上线,,
4,W3,20,110,部署文档,一键部署README,他人可跟做,部署上线,,
4,W3,21,111,公网演示录屏,10分钟线上demo,录制完成,部署上线,,W3交付
4,W4,22,112,证2冲刺,刷题Agent/工作流,错题本,部署上线,证2,
4,W4,23,113,证2冲刺,模考,>=70分,部署上线,证2,
4,W4,24,114,证2场景题,储能场景题笔记,笔记1篇,部署上线,证2,
4,W4,25,115,证2考试,按档期参加考试,通过或已考,部署上线,证2,考试日
4,W4,26,116,性能一页纸,延迟/成本/并发,PDF1页,部署上线,,
4,W4,27,117,架构总图,3项目关系图,图+说明,部署上线,,
4,W4,28,118,安全清单,密钥/脱敏/权限,checklist完成,部署上线,,
4,W4,29,119,作品集页,GitHub Pages/语雀,链接可点,部署上线,,
4,W4,30,120,月复盘,规划求职月,复盘500字+,部署上线,,月交付公网+证2
5,W1,1,121,简历结构,改第1版简历,1页无废话,求职冲刺,,
5,W1,2,122,项目1 STAR,RAG量化指标,3条成果,求职冲刺,,
5,W1,3,123,项目2 STAR,Agent量化指标,3条成果,求职冲刺,,
5,W1,4,124,项目0简述,chat-api工程能力,1段描述,求职冲刺,,
5,W1,5,125,技能关键词,RAG/Agent/FastAPI/储能,匹配JD,求职冲刺,,
5,W1,6,126,GitHub整理,README+目录,链接专业,求职冲刺,,
5,W1,7,127,作品集页,聚合3项目,可访问,求职冲刺,,W1交付
5,W2,8,128,3分钟稿,储能RAG答辩稿,脱稿可讲,求职冲刺,,
5,W2,9,129,10分钟稿,全链路答辩稿,脱稿可讲,求职冲刺,,
5,W2,10,130,录屏3分钟,上传演示,完成,求职冲刺,,
5,W2,11,131,录屏10分钟,上传演示,完成,求职冲刺,,
5,W2,12,132,RAG面试题,自答10题录音,10题完成,求职冲刺,,
5,W2,13,133,Agent面试题,自答10题录音,10题完成,求职冲刺,,
5,W2,14,134,工程题,限流/缓存/成本10题,10题完成,求职冲刺,,W2交付
5,W3,15,135,储能业务题,场景+脱敏10题,10题完成,求职冲刺,,
5,W3,16,136,模拟面试1,录音复盘,改进3点,求职冲刺,,
5,W3,17,137,简历v2,按反馈修改,v2完成,求职冲刺,,
5,W3,18,138,岗位调研,50个JD列表,储能/能源/工互,求职冲刺,,
5,W3,19,139,简历定制A,储能岗版本,1份,求职冲刺,,
5,W3,20,140,简历定制B,AI应用后端版,1份,求职冲刺,,
5,W3,21,141,投递,BOSS/猎聘10家,记录表,求职冲刺,,
5,W3,22,142,投递,继续10家,累计20,求职冲刺,,
5,W3,23,143,模拟面试2,技术+项目,复盘完成,求职冲刺,,
5,W3,24,144,投递,继续10家,累计30,求职冲刺,,
5,W3,25,145,跟进HR,回复/约面,有沟通,求职冲刺,,
5,W3,26,146,面试复盘,错题补笔记,本日更新,求职冲刺,,
5,W3,27,147,投递,继续10家,累计40,求职冲刺,,
5,W4,28,148,模拟面试3,系统设计轻量,复盘完成,求职冲刺,,
5,W4,29,149,投递,继续10家,累计50,求职冲刺,,
5,W4,30,150,总复盘,在职提升计划,1000字+,求职冲刺,,月交付求职
